Name	Gene	Input
ATP hydrolysis activity	metN	1
ATP hydrolysis activity	lon	1
ATP hydrolysis activity	dnaX	1
ATP hydrolysis activity	copA	1
ATP hydrolysis activity	dinG	1
ATP hydrolysis activity	ftsK	1
ATP hydrolysis activity	minD	1
ATP hydrolysis activity	dbpA	1
ATP hydrolysis activity	mutS	1
ATP hydrolysis activity	recQ	1
ATP hydrolysis activity	groL	1
ATP hydrolysis activity	mutL	1
ATP hydrolysis activity	purL	1
ATP hydrolysis activity	purD	1
ATP hydrolysis activity	hscA	1
ATP hydrolysis activity	ettA	1
ATP hydrolysis activity	zapE	1
ATP hydrolysis activity	dnaK	1
ATP hydrolysis activity	uup	1
ATP hydrolysis activity	hflX	1
ATP hydrolysis activity	uvrA	1
ATP hydrolysis activity	srmB	1
ATP hydrolysis activity	potA	1
ATP hydrolysis activity	cydC	1
ATP hydrolysis activity	ychF	1
ATP hydrolysis activity	ravA	1
ATP hydrolysis activity	rbbA	1
ATP hydrolysis activity	clpX	1
ATP hydrolysis activity	htpG	1
ATP hydrolysis activity	ccmA	1
ATP hydrolysis activity	clpA	1
ATP hydrolysis activity	radD	1
ATP hydrolysis activity	hypD	1
ATP hydrolysis activity	cydD	1
ATP hydrolysis activity	wzc	1
ATP hydrolysis activity	tsaE	1
ATP hydrolysis activity	hslU	1
ATP hydrolysis activity	hscC	1
ATP hydrolysis activity	clpB	1
ATP hydrolysis activity	rapA	1
ATP hydrolysis activity	mlaF	1
ATP hydrolysis activity	zntA	1
ATP hydrolysis activity	araG	1
ATP hydrolysis activity	fetA	1
ATP hydrolysis activity	phnL	1
ATP hydrolysis activity	ybhF	1
ATP hydrolysis activity	xylG	1
ATP hydrolysis activity	groS	1
ATP hydrolysis activity	rhlE	1
ATP hydrolysis activity	alsA	1
ATP hydrolysis activity	phnC	1
ATP hydrolysis activity	oppF	1
ATP hydrolysis activity	deaD	1
ATP hydrolysis activity	mdlB	1
ATP hydrolysis activity	uvrD	1
ATP hydrolysis activity	ugpC	1
ATP hydrolysis activity	gltL	1
ATP hydrolysis activity	yhdZ	1
ATP hydrolysis activity	yddA	1
ATP hydrolysis activity	yejF	1
ATP hydrolysis activity	fliI	1
ATP hydrolysis activity	btuD	1
ATP hydrolysis activity	modC	1
ATP hydrolysis activity	fepC	1
ATP hydrolysis activity	potG	1
ATP hydrolysis activity	pstB	1
ATP hydrolysis activity	gsiA	1
ATP hydrolysis activity	yoaA	1
ATP hydrolysis activity	dppD	1
ATP hydrolysis activity	yegD	1
ATP hydrolysis activity	ftsH	1
ATP hydrolysis activity	ydcT	1
ATP hydrolysis activity	ftsE	1
ATP hydrolysis activity	ybbA	1
ATP hydrolysis activity	livF	1
ATP hydrolysis activity	tauB	1
ATP hydrolysis activity	malK	1
ATP hydrolysis activity	rarA	1
ATP hydrolysis activity	rbsA	1
ATP hydrolysis activity	glnQ	1
ATP hydrolysis activity	rep	1
ATP hydrolysis activity	msbA	1
ATP hydrolysis activity	uvrB	1
ATP hydrolysis activity	ddpF	1
ATP hydrolysis activity	ssuB	1
ATP hydrolysis activity	nikD	1
ATP hydrolysis activity	artP	1
ATP hydrolysis activity	dnaB	1
ATP hydrolysis activity	proV	1
ATP hydrolysis activity	ynjD	1
ATP hydrolysis activity	hrpA	1
ATP hydrolysis activity	cysA	1
ATP hydrolysis activity	macB	1
ATP hydrolysis activity	livG	1
ATP hydrolysis activity	hisP	1
ATP hydrolysis activity	phnK	1
ATP hydrolysis activity	yheS	1
ATP hydrolysis activity	ytfR	1
ATP hydrolysis activity	dppF	1
ATP hydrolysis activity	lsrA	1
ATP hydrolysis activity	rhlB	1
ATP hydrolysis activity	lptB	1
ATP hydrolysis activity	lolD	1
ATP hydrolysis activity	afuC	1
ATP hydrolysis activity	mdlA	1
ATP hydrolysis activity	hrpB	1
ATP hydrolysis activity	yphE	1
ATP hydrolysis activity	yehX	1
ATP hydrolysis activity	ddpD	1
ATP hydrolysis activity	yadG	1
ATP hydrolysis activity	mrp	1
