Name	TCGA-A6-3807	TCGA-A6-3808	TCGA-A6-3810	TCGA-AA-3518	TCGA-AA-3525	TCGA-AA-3526	TCGA-AA-3529	TCGA-AA-3531	TCGA-AA-3534	TCGA-AA-3552	TCGA-AA-3554	TCGA-AA-3561	TCGA-AA-3664	TCGA-AA-3666	TCGA-AA-3672	TCGA-AA-3684	TCGA-AA-3710	TCGA-AA-3715	TCGA-AA-3818	TCGA-AA-3848	TCGA-AA-3864	TCGA-AA-3986	TCGA-AA-3989	TCGA-AA-A00J	TCGA-AA-A00O	TCGA-AA-A00U	TCGA-AA-A010	TCGA-AA-A01D	TCGA-AA-A01F	TCGA-AA-A01P	TCGA-AA-A01R	TCGA-AA-A01S	TCGA-AA-A01T	TCGA-AA-A01V	TCGA-AA-A01X	TCGA-AA-A01Z	TCGA-AA-A022	TCGA-AA-A024	TCGA-AA-A029	TCGA-AA-A02E	TCGA-AA-A02H	TCGA-AA-A02J	TCGA-AA-A02O	TCGA-AA-A02R	TCGA-AA-A02Y	TCGA-AA-A03F	TCGA-AA-A03J
hsa-let-7a-1	12.09912312	11.30915686	11.75864009	11.53864821	11.45118826	11.85460746	11.58041947	11.84186429	11.91280283	11.94404035	11.33377373	11.02401141	11.5052162	12.13403293	11.77705426	11.8431523	11.7678016	12.14115319	11.7270733	11.90359807	11.71080858	11.35335688	11.52936494	11.3784173	12.47992378	11.72999082	13.14372414	12.24387786	11.80848554	11.62174634	11.98159906	12.17928885	11.26751113	11.83035448	12.93328193	12.2357354	11.99635865	12.0261924	11.49296318	11.90468552	11.89693175	11.80085958	11.44094523	11.84132474	11.51053898	11.97208014	11.53512692
hsa-let-7a-2	12.09243155	11.27801675	11.74965017	11.50853076	11.45529119	11.90400329	11.63613205	11.81564414	11.8717742	11.92366993	11.28119663	11.02168997	11.5432024	12.14237153	11.77113995	11.78486106	11.73788059	12.19659797	11.7696363	11.86258623	11.69531213	11.37762557	11.51430705	11.33019373	12.48970902	11.74089327	13.12256092	12.23765497	11.77562527	11.60179039	12.01458656	12.12133207	11.2931899	11.83237168	12.90567269	12.22459054	12.0239762	12.02519418	11.46256851	11.93096472	11.89610752	11.7680899	11.40500145	11.8252389	11.48494361	11.91175465	11.54179204
hsa-let-7a-3	12.08554032	11.34434419	11.79637984	11.5202837	11.48703341	11.83612862	11.64377617	11.7978955	11.92288023	11.9357606	11.24795834	11.05309751	11.48827746	12.1196251	11.76898327	11.85123007	11.71537443	12.15930017	11.76079971	11.95683334	11.667219	11.38285353	11.50311032	11.36252121	12.47799385	11.77423243	13.15155658	12.23765497	11.8185697	11.64430214	12.01089972	12.16897249	11.30219296	11.82361003	12.91337507	12.21740085	11.99784898	12.04910307	11.46954659	11.92386007	11.93290011	11.74549244	11.4334375	11.84452049	11.51911333	11.97867558	11.55812797
hsa-let-7b	12.83191211	13.7324034	13.45234161	13.07754778	12.84637956	14.01339547	13.25721445	13.39832645	13.03902627	13.73774173	13.4226721	13.48449248	13.57098142	14.07682149	13.72219371	13.94332473	13.44493678	14.18607823	13.04249842	13.34064872	13.28923054	12.27646632	12.57305352	12.20976697	13.67207605	13.24745296	15.00021453	13.95454596	13.22100589	13.02827566	13.24890392	12.55843605	12.3203545	12.29025909	13.38978677	12.85352758	13.29070467	13.3742468	13.00228794	13.46644011	12.78078659	13.45138193	12.31027804	13.61131413	12.3047222	12.57716445	12.99131611
hsa-let-7c	8.854487633	10.26377203	8.999568499	4.899606634	5.230685906	7.547255027	7.180881119	7.479432181	10.06603105	7.647827443	9.276844265	6.599577116	5.022623347	7.710363503	7.88230633	9.213860854	7.14681648	9.370039563	9.669625161	8.008118154	8.14150482	8.059709932	7.63572256	6.335877001	9.114561408	8.613161211	7.61633539	8.344888121	8.191374845	8.835490244	7.828404994	7.06670665	6.437756799	6.777417164	10.4434643	7.346801127	7.02943854	8.884137912	6.848315041	8.18241244	6.468591234	8.806063045	8.64277608	8.75084519	4.759537288	7.453723524	7.469424294
hsa-let-7d	9.053649419	7.930598613	8.464682384	9.27173365	8.905248464	9.389670642	9.400680314	9.835736798	10.47435089	9.304576565	9.133212935	10.77756613	9.408511339	10.30380475	10.41190848	9.268218653	9.088328832	9.79095089	8.863803266	9.46591343	9.033739314	9.212276062	9.20459966	10.40262947	9.753642134	10.48221529	11.20887658	10.37536417	8.763745292	8.925130992	10.10233263	10.35899272	9.251206068	10.31992352	10.24868575	10.13437543	9.244467634	9.196362084	8.973039855	9.270243246	8.881035184	10.46060129	9.166078214	8.876509883	9.541781299	9.083009935	9.161164902
hsa-let-7e	8.652767603	8.276180129	8.351984428	7.131624218	7.014045484	7.035983659	8.261343109	6.637888245	8.752915032	8.342369037	7.817820726	7.376520128	6.000259527	8.16791522	7.620494311	8.590026386	7.686273145	8.235544979	8.073382861	7.433003188	7.907940874	7.17660858	7.994723189	7.192450876	11.29984667	9.067946683	8.428938672	9.946300129	8.840763163	8.338817679	7.628440436	7.870782658	7.899559943	7.873657819	11.53069155	7.805348877	7.079844597	8.376608925	8.218524833	9.440140248	8.263240511	8.695593325	7.867194085	8.042256479	6.788764981	8.108400265	8.732645422
hsa-let-7f-1	10.10177619	8.902335906	9.64046555	9.744308061	9.624100873	9.934229799	9.826909958	9.781631413	10.32656556	9.873254	9.634004772	9.535343501	9.290636589	10.22822372	9.808000792	9.484821708	10.01170888	10.10929719	9.933048473	10.01803956	9.928261134	10.2518495	9.87255012	10.14031566	10.35344094	9.924847959	11.25831628	10.74773698	10.30783102	10.14866116	10.33159234	10.52741495	9.944998153	10.39190135	10.91896646	10.81882302	10.12769041	9.900762271	10.06430266	10.22351045	10.40120658	9.98807292	10.10936299	9.730446994	10.34830645	9.903376068	10.13522892
hsa-let-7f-2	10.05985743	8.93514413	9.718714201	9.641573547	9.704435069	9.859151294	9.816360984	9.993430462	10.27557289	9.97048858	9.66044397	9.367558522	9.216169502	10.27664548	9.812196102	9.431375934	10.00029717	10.14211105	9.997263341	10.04416686	9.789200383	10.29951835	9.890374105	10.08207758	10.27153891	9.865261122	11.29978797	10.74681479	10.32952035	10.16355252	10.29827475	10.5103126	9.939763026	10.41451916	10.91848812	10.87400113	10.14823605	9.955683938	10.00372725	10.22135576	10.43972603	10.03419836	10.13701662	9.732957445	10.36647605	9.917175773	10.20110588
hsa-let-7g	9.626170364	7.884824179	8.681877846	9.184233712	8.701565046	8.581260767	8.647259508	9.15016943	9.234476043	9.4901673	8.589395678	8.840988148	8.938259306	9.392773667	9.219637586	8.879960828	9.388873906	9.584750539	9.286300197	9.308111911	9.230874201	9.281657048	9.047373038	8.927208142	9.767498316	10.12208076	10.01196846	9.28157613	9.210025683	9.381344914	9.698250483	10.0178666	9.314056888	10.08520637	11.46013881	10.21282465	9.29383356	9.417678837	8.842637823	9.688861101	9.405983434	9.406328047	9.597839206	8.560446327	9.474598976	9.766196479	9.565346564
hsa-let-7i	8.652767603	7.864004298	8.383321772	8.42384742	7.660704568	8.303959476	7.712834195	7.341799423	8.499106288	8.480834876	8.773685309	7.002543831	7.60645394	8.03774077	9.070007078	8.783727406	9.019903081	9.770108827	8.672215316	8.123708854	8.592389274	8.148176613	7.914204756	8.30622968	7.951037576	8.934352258	8.740713197	8.196083091	7.795284906	8.760173839	8.841925176	7.938834615	7.660825191	8.24065835	8.732181844	7.805348877	8.336267809	7.791133207	8.129382719	8.710715775	7.553689412	9.294364174	8.369625389	8.543384653	7.534102615	7.644154653	8.99739817
hsa-mir-1-1	4.342498282	6.49015061	3.465287813	1.172680161	2.111898339	2.848309056	3.973046393	1.731052437	4.737466988	3.617543457	5.112269094	2.120368531	0.798875032	1.799658053	3.516266966	4.698880043	3.056630172	2.211085417	6.021503091	3.299085929	2.886559512	3.877191994	3.494257379	2.192861691	5.570296975	4.588267053	1.158128881	3.826303297	5.250822147	6.643783967	0.798875032	3.811968181	3.79214403	2.13647655	6.535783753	4.324322856	1.180674928	3.208333087	4.324635511	6.056870565	4.666470353	3.803431335	1.876666635	0.798875032	3.141783939	3.771442986	4.987221666
hsa-mir-1-2	5.087092488	6.49015061	3.368385768	1.172680161	2.49866855	1.799345559	4.162647275	3.188866924	4.773554274	4.412331172	4.822301966	2.120368531	2.547706461	1.163942422	4.058575828	4.282254155	2.555860073	2.211085417	6.031759927	3.473292207	3.489552697	3.828356278	3.21836488	1.478225292	5.483414249	4.219580704	1.509704455	3.984883237	5.371095523	6.601847834	1.706164942	4.663934728	4.122961891	2.60769794	6.545729434	3.840287783	1.821161193	2.844408754	5.149974316	6.186229452	4.691008468	3.536706194	2.665509428	1.985127322	2.636318824	4.144263329	5.285146654
hsa-mir-100	10.24683422	12.16069405	12.12635287	8.039735241	8.345562522	9.189692287	10.53301592	9.709516937	11.16381726	9.937694432	11.49251104	8.405792601	7.693481249	9.111413332	10.27423441	11.2356145	10.08700301	11.98227686	11.64822849	9.491457946	10.11953682	10.64225811	9.97335584	7.933685917	11.09668886	10.61414508	8.357598249	10.061294	9.799009066	10.5272218	9.022267021	8.938451379	8.685054646	8.338524916	10.99079991	9.320946598	9.26342621	10.25426044	9.950940279	10.72457863	9.475609571	10.52431989	9.798191337	11.20006866	7.406817012	9.370640453	9.724070434
hsa-mir-101-1	11.47567927	12.73815163	12.74974129	10.20308898	10.20439677	10.94443012	10.97581719	10.88358615	11.25598417	11.53598799	11.46384678	10.65710407	10.70841889	10.83842847	11.55598173	11.27912409	11.21778458	11.30305928	12.42309419	12.11063288	10.94072369	12.10339197	11.57569178	11.09482629	12.88561928	10.7913007	9.830664488	11.51004848	11.08785098	11.74754264	11.29640431	11.64993386	10.81699464	11.17634007	11.39630063	11.49126378	11.76036732	11.01077539	11.49682926	11.92551544	12.11209508	11.81932346	11.05173338	11.72160833	10.72181634	11.11508779	11.38492327
hsa-mir-101-2	11.47901797	12.74724014	12.77003732	10.29525809	10.14382638	10.92982787	10.9631218	10.9220402	11.22210782	11.53708306	11.51338257	10.6289117	10.6089448	10.71820275	11.46897874	11.24790427	11.21087044	11.27109823	12.39444262	12.0713654	10.99507475	12.13063353	11.59669754	11.06306227	12.88283721	10.72926338	9.734861183	11.53990219	11.09921597	11.75725946	11.35200023	11.66392129	10.85252941	11.12898455	11.40895575	11.53772233	11.75984039	11.02168445	11.53782033	11.91171798	12.11634777	11.83755402	11.01829509	11.69995804	10.64084563	11.0667682	11.37749059
hsa-mir-103a-1	12.20387926	10.14366621	11.14735873	12.20140253	12.16704476	11.97994481	11.981242	10.51184196	11.75648078	11.82131705	11.8484139	10.65311016	12.04065869	12.35033639	11.53899582	11.48768105	12.06671631	12.15183859	10.91475267	10.91156377	12.41632458	11.38139955	10.92719954	12.75224475	12.11837728	12.12023082	12.62461211	12.79785361	12.24378481	11.64430214	12.51605571	13.28988754	12.48052441	11.52291912	11.28232725	12.08177156	11.1270455	12.23745493	12.00559815	12.20403886	12.13798306	11.78119063	11.573603	11.15163375	12.41886075	12.12111084	12.07927219
hsa-mir-103a-2	12.20372404	10.174643	11.15236984	12.12567791	12.22205988	11.95537292	11.96196303	10.50379735	11.78051005	11.78306016	11.82272445	10.60326577	12.06534308	12.37615527	11.54908567	11.48276355	12.07924444	12.18736353	10.90013119	10.85659884	12.36232831	11.39318737	10.93742139	12.76649074	12.118152	12.13640059	12.6141635	12.78589472	12.21031339	11.63610143	12.51456865	13.29214074	12.50501109	11.52583056	11.24733112	12.05942874	11.18576083	12.23966964	12.00601556	12.17885992	12.17691474	11.75486911	11.58318424	11.20369312	12.40874484	12.12854385	12.02461954
hsa-mir-106a	6.306771494	4.936933985	8.065567729	5.779651837	4.785591091	6.496693001	6.749573298	6.870178847	5.782791258	6.0030371	5.197276386	6.938354161	6.782125319	7.622262745	7.800203803	4.637272426	5.489337891	6.547989505	6.786369865	8.218535896	6.021268216	5.919961485	5.772186681	6.606547569	5.390962027	6.290980587	6.554461306	7.339564651	6.775849283	5.131728208	6.57422957	7.580858935	6.551953251	6.521462939	6.36655474	7.037575506	5.137681718	4.753009922	5.453995775	6.007708204	7.261798842	7.678470155	6.171567496	5.98044799	6.308548037	5.537478225	6.895073461
hsa-mir-106b	8.435209658	8.055219254	8.653882931	8.718329871	7.978357689	8.680545305	8.52589756	8.984971732	8.788622709	9.106367459	8.284034691	8.3866772	9.268130298	8.857287029	10.38540469	8.025087957	8.867455226	9.476799025	9.227279668	10.31700928	8.91643662	8.842053709	8.972803847	10.16670928	8.750669323	10.24002226	10.10445261	9.699851086	10.10681989	8.896507833	10.27474955	9.676797371	9.86991906	9.392063243	9.182942121	9.653120602	8.538220906	8.622720021	9.248917586	9.089496141	9.502718908	10.32404433	9.487235388	9.053644782	9.037140389	8.619596854	10.18716897
hsa-mir-107	5.447409792	4.767911802	5.795159118	5.405717507	5.280867441	5.796330676	5.059548625	3.899000698	5.254085254	5.454225913	5.494621535	4.675384977	6.250376364	6.415603652	6.35624021	5.760248043	6.028031909	5.92834379	5.285618348	5.457834294	5.871731032	4.974782955	4.525909693	5.567956075	6.019495168	5.598908585	5.879923012	5.777133331	5.982657142	5.479254073	6.365714021	6.788902973	5.825201996	4.528549316	4.512382274	6.196258052	4.851509647	5.656980296	5.602703882	5.696347764	5.687408439	5.359812484	5.486231807	4.440476004	5.557266616	5.57278031	5.945497072
hsa-mir-10a	15.3025418	14.6408889	15.1170693	17.48774732	16.7590552	14.73826469	15.7223837	14.49259456	16.15981672	16.21774347	15.48875185	17.26646327	16.59774269	16.99925213	16.42529529	15.72657803	14.19615409	14.95162656	15.13321615	16.52385799	15.30452465	16.45023409	16.43924395	16.16175236	16.36840265	16.38471066	18.08774537	15.20888096	15.38102017	15.46009834	16.73085984	15.67073825	17.0319302	16.09272583	15.83358122	15.53400112	17.53532745	17.24939476	16.32378574	15.54793357	13.92083902	15.73761938	14.86294053	16.18374664	16.45307149	16.98167419	16.14169662
hsa-mir-10b	15.57770122	15.65667055	13.8066611	15.60459915	16.20965854	14.34324831	14.54036136	14.555794	16.53524894	15.40407716	15.66423954	14.7391998	14.48280741	14.47020873	14.42844366	15.56888204	15.15483159	15.71459301	15.42059448	14.3111151	15.22619984	14.75221732	15.90135972	15.68244316	15.90182242	15.71460727	15.01185181	15.13536254	14.79878045	15.81656525	14.37414023	15.85566548	14.31226468	15.29735815	15.4114359	15.67922845	15.77918222	15.25999644	16.41069471	15.93164828	15.29771833	15.90058625	15.80630271	16.65378638	15.84912207	15.29947953	15.39430801
hsa-mir-1180	1.334953782	0.884877642	2.407322564	3.09183589	2.934553111	3.449230276	3.183822654	2.765374768	2.955466254	2.13166356	2.867513407	2.120368531	4.167087959	2.57597906	4.451804094	2.684521418	3.722514988	3.57176235	2.370547367	1.178411253	3.315141155	3.200405479	0.854120157	4.093773032	1.917235818	4.504547811	4.933585479	3.207999176	3.615335308	2.170383706	3.531107806	3.141907507	2.746854267	4.298862023	2.760547353	1.537705083	2.496982526	3.550367064	2.525916519	3.310562616	2.165106055	4.223069015	3.255685024	2.790345004	2.162947311	3.430217018	3.419587969
hsa-mir-1247	6.065713309	5.851068029	5.698807218	6.252817565	4.293263279	7.427631338	9.626798181	5.668842958	10.10638302	9.07051387	6.576989623	7.296845809	8.127761068	7.856538114	9.703469721	7.804619512	4.359009305	10.65780708	8.402661323	6.2147054	8.266609884	9.514370569	8.061669266	3.025778482	10.51136967	8.977687101	9.26153038	4.653785941	9.681789353	9.282307968	11.08323633	8.663166773	9.090423233	6.985092235	5.541342174	7.636229848	8.549646725	8.767551422	6.201256026	10.82306822	8.285567555	8.224606915	7.627008984	3.912183836	7.706169371	7.178077456	8.304975613
hsa-mir-1248	2.016263815	0.883270461	3.031186259	1.172680161	1.581861223	1.163699665	1.680584064	3.361599099	1.597911552	1.089096744	4.153386407	2.718105782	1.775480441	1.799658053	1.204923217	2.417633816	2.742770055	3.457219584	0.883270461	2.259972043	4.661132823	1.732552717	1.321888853	2.192861691	0.883270461	1.236449146	3.17087158	1.069535137	2.10781707	1.184755084	3.70806835	3.141907507	3.14644571	2.13647655	3.40973782	3.106564574	0.883270461	2.103372752	1.477559213	2.765321297	2.298839814	4.028454227	1.3803715	3.596477223	1.85148561	1.954688046	2.900511149
hsa-mir-125a	8.168773873	8.829031243	8.837054797	7.03834038	6.634431639	7.974660923	8.421494755	7.131156397	8.493707783	8.521238205	8.973684777	8.26633948	6.000259527	9.127504015	7.874303168	8.725710289	8.276487491	8.307567219	8.150711356	7.602000257	7.771037911	7.609466377	7.508948366	6.841876773	10.10418842	9.004601153	7.483634212	9.3242395	8.096851038	7.777169478	7.389756024	7.421665711	7.447230068	6.864106194	9.632393066	6.962502417	7.124188481	8.501628904	7.991168187	8.884179221	7.424290015	8.679098069	7.193483402	8.621334197	6.581702989	7.415343851	8.290149605
hsa-mir-125b-1	6.975667785	7.837549675	7.867056498	4.480466258	4.243518513	5.696349322	6.021518504	5.378328639	6.985010216	6.614078527	7.790721044	5.153664099	3.95801848	5.432405366	6.445370355	7.430838398	5.973051124	7.915897766	8.068409401	6.482673565	6.743592936	6.07453241	5.449243253	4.562144531	6.790393998	7.846707586	4.874236005	6.69674249	5.997683721	6.864770683	5.973914935	4.613573554	5.305952396	4.679609584	7.830156791	5.860458288	5.606358602	7.153444293	6.756040102	7.211452666	5.912767355	7.557344835	6.850156452	6.908077746	3.81183885	5.406639216	6.325883551
hsa-mir-125b-2	6.969837993	7.874451795	7.831143676	5.016029	4.51911034	5.625625654	6.069687647	5.337528246	7.103160531	6.474725738	7.345629318	4.796203129	4.167087959	5.513010325	5.96224199	7.680311647	6.115252028	7.926700403	8.110147187	6.398762056	6.726269693	5.991019576	5.441603223	4.765296735	7.008332331	7.636639685	5.358590934	6.711943284	6.529300077	6.824819942	5.749575456	5.125840476	5.406528575	4.772188344	7.65286749	5.356488065	5.606358602	7.178288521	6.82579369	7.283445319	5.491790738	7.610505548	6.809489857	6.934493113	3.81183885	5.705936583	6.804077069
hsa-mir-126	12.54838483	11.35976333	11.36548165	11.4267552	11.10670085	11.42951801	11.17106947	11.38064159	11.86316493	11.92199427	11.68509353	10.78670931	10.6638558	11.5900586	11.55535618	12.18069161	12.29658308	12.28609231	12.30794321	12.02576375	12.35741375	11.23839185	11.49759434	11.08813471	12.9536089	12.20265056	11.22158229	11.16302565	11.21705211	12.14080922	11.1373808	11.74474673	11.01367421	11.30490395	11.37205051	11.47302619	10.8885545	10.71783397	10.58207542	12.08332639	11.48618885	11.82495744	11.31798052	10.55403246	10.22165094	10.55640153	11.79775277
hsa-mir-1266	2.603022141	1.429329941	1.95230598	3.463936933	3.268846362	3.449230276	1.97847755	2.495540909	3.386749569	1.089096744	3.232264115	2.944127545	3.713431773	1.799658053	5.279925799	2.089906563	4.359009305	4.771843596	2.60841777	3.299085929	5.669065668	2.830571741	2.83088525	6.166855109	3.754507222	4.219580704	4.78036664	5.261446267	3.89759089	4.37401952	4.467319591	5.557402921	3.79214403	4.09888498	3.121354312	4.455264678	3.173645879	3.445115388	3.816428498	4.397354069	4.237303438	4.686253539	3.996807664	4.338662871	4.267611601	3.771442986	4.406610885
hsa-mir-1269a	4.446909927	0.884877642	1.6564712	1.172680161	1.581861223	2.848309056	6.769154125	5.494232286	6.930112492	5.490856619	4.153386407	8.637718617	3.95801848	3.872589932	1.204923217	6.365099865	2.555860073	2.688259374	1.730065589	1.818256676	1.188407255	7.751300889	8.771931791	0.398691848	1.917235818	0.398691848	2.231135605	0.631690091	6.993863799	0.398691848	2.650799937	5.262854283	6.857538704	1.432122401	7.842312424	1.537705083	0.398691848	1.613864	3.689129159	1.225416231	7.550340504	7.189216384	1.048866006	1.985127322	1.85148561	0.398691848	7.631109609
hsa-mir-127	10.42410803	9.880238994	10.40929558	8.911083826	7.947620412	10.00036215	9.395964903	9.164820305	9.638352668	9.147100676	10.43512256	9.305298908	8.379474583	9.395433964	9.001852439	10.47283446	9.425170928	10.22540325	9.559621921	9.746116129	9.882077517	8.939045571	9.87928204	8.681598812	9.074251874	9.450039964	8.276827818	9.917085255	9.254492602	8.983452398	8.510076941	9.453420969	9.077133414	7.868424544	9.109407505	9.563423355	8.756776356	8.840704063	8.678469088	10.02965312	9.344473954	10.68886758	8.963209886	8.835047087	7.130637731	8.152818226	10.26600114
hsa-mir-1271	1.01086289	3.242767267	3.264503253	0.73298722	0.735105339	1.799345559	1.97847755	2.163353167	2.823982251	3.617543457	3.52315669	3.139488486	0.73298722	3.077949131	0.73298722	3.275883278	3.191188664	2.469311388	1.257287058	2.871127839	2.274121187	1.784681534	2.708895716	1.478225292	1.624213217	3.191731924	1.509704455	1.404977216	0.73298722	1.690722365	2.006201422	0.902772852	1.279845664	0.73298722	2.07354092	1.537705083	1.180674928	2.35654106	1.990816936	2.765321297	1.668174507	3.382237285	1.3803715	3.069949582	0.902708033	1.104690915	2.081835554
hsa-mir-1277	2.603022141	0.884877642	1.28389985	1.172680161	1.219734798	1.799345559	0.795095307	1.731052437	0.67348768	1.089096744	3.232264115	1.692441929	0.67348768	0.67348768	0.67348768	1.06055587	0.67348768	0.67348768	2.370547367	2.259972043	1.188407255	2.497307062	1.253718244	1.131395224	0.760644217	1.236449146	0.67348768	1.676951127	2.654576916	2.529740503	1.326891076	2.636435767	1.279845664	2.391241458	1.83485196	3.106564574	1.427125552	0.867328761	0.67348768	2.326159943	1.455490042	2.181129591	1.876666635	0.67348768	2.636318824	1.104690915	0.854685103
hsa-mir-128-1	5.59104798	5.051855385	5.658389423	5.712219596	4.819938663	6.163856182	5.866537467	6.620987172	5.764975567	4.486763277	5.353595959	6.110133816	5.697493475	5.302368334	6.919852063	5.575512261	6.305293324	5.477768691	5.750536592	6.11305009	6.076997173	5.974282097	5.658147146	7.507692998	6.034852874	7.020557405	8.373759332	6.382093207	6.497938276	5.232885815	6.352456991	6.97991626	6.074848601	6.410621047	5.637483051	7.016521703	5.67950352	6.498802944	5.987935177	6.007708204	6.18741168	6.757968612	5.766730998	5.527457739	6.104894715	5.640894155	6.204624528
