Name	Intensity 01_IKA_0h_batch5	Intensity 02_IKA_0h_batch6	Intensity 03_IKA_0h_batch7	Intensity 04_IKA_2h_batch1	Intensity 05_IKA_2h_batch3	Intensity 06_IKA_2h_batch4	Intensity 07_IKA_6h_batch1	Intensity 08_IKA_6h_batch3	Intensity 09_IKA_6h_batch4	Intensity 10_IKA_12h_batch1	Intensity 11_IKA_12h_batch3	Intensity 12_IKA_12h_batch4	Intensity 13_IKA_18h_batch1	Intensity 14_IKA_18h_batch3	Intensity 15_IKA_18h_batch4	Intensity 16_IKA_24h_batch1	Intensity 17_IKA_24h_batch3	Intensity 18_IKA_24h_batch4
Aars	27.46505405	27.36744715	23.65883558	25.29547553	26.59377407	26.71881818	27.34823945	27.44268867	25.21360057	24.99838969	25.26917263	25.29656114	24.55637133	26.73000797	26.54741151	24.40911639	24.69498014	22.05115715
Abcb7	24.33374499	24.11608691	18.09810407	20.8525478	23.0294827	23.44316311	23.02030382	23.53540259	21.65979386	20.30162123	22.20958306	19.52252023	18.09810407	18.09810407	18.09810407	21.91863471	21.79855565	18.09810407
Abce1	25.17004974	25.99666691	20.80467304	23.78725933	26.38277968	26.22287743	26.42595218	27.28171217	24.97862703	23.9593419	24.80444657	23.77233391	24.82497932	24.38079977	23.43898267	24.00041132	23.95020274	22.09229518
Abcf1	24.41577116	23.59775706	21.51600198	22.5727215	25.49625159	25.53552125	25.24506839	25.97026812	23.10317573	21.43562957	23.41351327	22.50707454	23.7050375	25.30365005	25.11024338	23.09677305	23.25257304	20.40020402
Abcf2	24.07724602	25.65869941	22.44763416	22.28116031	25.79424312	25.92849958	26.67222634	26.65430781	24.23513016	23.66220853	24.56028385	24.21400837	19.01878698	21.24417566	22.88235423	22.50734075	23.19708048	19.73725725
Acaa2	25.23790373	24.76096151	23.71429164	22.67719315	26.63242439	26.62352141	26.60385246	27.19676164	24.1800275	24.99485578	25.16917053	25.03737234	24.22022243	24.61532116	24.74760501	25.5173724	25.46229482	22.81716246
Acad9	25.93869678	24.76870448	22.76666397	23.26284384	25.02597356	25.46329312	25.07765351	25.48634158	23.34163826	23.28912057	23.54191429	20.2675091	20.2675091	24.05614485	20.69157656	24.10645432	23.83836298	21.45417678
Acadl	26.95748327	26.81750893	25.63884486	24.06455661	26.29997026	26.40636151	26.57437121	26.75913358	24.66008775	24.53409671	25.47639394	25.73371008	26.93190666	26.34526419	25.7965718	25.01120268	24.83315956	22.39994335
Acadm	24.02149038	24.55935048	19.14678742	19.14678742	23.31837952	21.46528141	24.45751214	22.75965173	21.99776111	22.68067372	23.04536907	23.12208862	19.14678742	19.14678742	19.14678742	21.95978408	22.07391665	20.84835092
Acat1	27.95532292	28.29509011	26.16800378	25.37305205	28.46905878	28.51291982	28.68435061	28.66563459	27.00142108	26.18665381	26.41567447	26.82723473	26.65867217	26.54892583	26.32700845	27.13084829	27.02633246	24.30465992
