MGI_Symbol	Batch_1_Ik_0H	Batch_2_Ik_0H	Batch_4_Ik_0H	Batch_1_Ik_2H	Batch_3_Ik_2H	Batch_4_Ik_2H	Batch_1_Ik_6H	Batch_3_Ik_6H	Batch_4_Ik_6H	Batch_1_Ik_12H	Batch_3_Ik_12H	Batch_4_Ik_12H	Batch_1_Ik_18H	Batch_3_Ik_18H	Batch_4_Ik_18H	Batch_1_Ik_24H	Batch_3_Ik_24H	Batch_4_Ik_24H
2-Mar	11.91893032	12.07055891	11.59651696	12.28928624	12.42723809	12.74833532	12.03252805	12.48858459	12.39405808	12.39553711	11.98283915	12.13872126	12.1413309	12.03324164	12.42645725	12.18702278	12.32448835	12.32728014
2-Mar	11.16581105	11.10838986	10.99341309	11.50844693	11.67695617	12.31904482	11.73517408	11.97070043	12.36560713	12.18737372	12.06381381	12.2576745	12.35416006	12.15552594	12.24686045	12.57985307	12.60981052	12.64952209
3-Mar	7.652008533	6.038141296	6.175715523	7.366071113	8.13595816	7.42661783	7.496846181	8.388764122	8.581650881	7.63386705	7.191356088	9.000512131	7.434884459	7.468051627	7.10931072	7.656832673	7.306984264	7.814417303
4-Mar	6.138570986	6.024945483	5.948653791	5.544304138	5.74131327	6.877611092	5.452392446	5.847452083	4.971577196	7.79152001	7.89452378	6.360632863	7.283688532	8.034118425	7.21282927	6.837100523	5.822801734	6.696420366
5-Mar	13.11225021	13.10821356	12.97978092	12.96656389	13.01401607	13.12448991	12.86234323	12.94425736	13.03010527	13.01307251	12.92910639	12.93791782	13.00081417	13.01768702	13.06435098	13.12315399	13.13077485	13.0962688
6-Mar	13.10124029	12.73134306	12.96839206	12.68526165	12.96656831	12.46386972	13.10285495	12.92243457	12.71816744	12.97940905	12.97160443	13.44855489	13.4612602	13.31430358	13.22640193	13.37208086	13.24719628	12.98161111
7-Mar	11.8449843	11.85655917	11.70325136	11.99864604	12.11215639	11.94138646	12.03204302	12.05896573	12.18976238	12.04864656	11.90334254	12.09387559	12.31658092	12.41634635	12.49235178	12.56107688	12.46277098	12.53387681
8-Mar	10.07624229	9.833505269	10.17683594	10.14750267	10.47994445	10.44882095	10.46654151	10.26357773	11.31506515	10.81646065	10.58941621	11.06030069	11.44108609	11.03236505	11.0732636	11.56689031	11.34230037	11.28379374
9-Mar	8.715759381	8.692834931	8.553458694	9.760619953	9.486373334	10.06456147	9.650724006	9.141285145	10.57915321	8.975660439	9.064776529	10.03607933	9.817018175	9.23670693	9.727316792	10.15256286	10.0056025	9.978746258
1-Sep	10.0081401	10.30584003	9.879554667	10.92412842	10.86357714	11.22185377	10.97467712	11.24547592	11.21664111	11.62697618	11.67703468	11.23640049	12.01379621	12.04128966	12.12959501	12.0296515	12.22188598	12.40879562
2-Sep	14.17350157	14.10836385	14.10959172	14.01163545	14.01197017	13.67626925	13.83242806	13.87451723	13.92126183	13.71403711	13.7494105	13.4516662	13.54991146	13.58098501	13.59248534	13.41682663	13.36526863	13.54463651
6-Sep	13.64135539	13.73647116	13.37841891	13.75949422	13.63607474	13.50484429	13.65103966	13.6700084	13.58937835	13.77814836	13.63915643	13.52147445	13.64972299	13.71445138	13.61492514	13.355926	13.41355224	13.30660731
7-Sep	14.70279078	15.07830355	14.79813421	15.12560988	14.95470506	14.98357768	15.03000153	15.01068113	14.89084527	14.95232618	14.70416989	14.8715329	14.59518338	14.78764664	14.79840337	14.63933206	14.66968663	14.61550905
8-Sep	11.13626598	11.52625465	11.31190537	11.14892946	10.97192671	10.45154224	10.38292435	10.39978221	9.71765306	9.613354213	10.13719104	9.321327191	10.04293105	10.30310369	10.14522757	10.10722755	10.48625421	10.38771599
9-Sep	14.63661117	14.69131334	14.4811938	14.34444062	14.03811199	13.54890008	14.2407839	13.86062217	13.87007878	13.33419139	13.33604207	13.08303987	12.91945335	12.84918349	12.78065503	12.63925795	12.56129744	12.806248
10-Sep	9.475594929	9.890792935	9.388113336	9.602626727	8.292035831	9.267851727	8.95381985	9.271705469	8.446089247	9.133922815	9.112171685	7.850745207	9.220243824	8.842911034	9.125800619	8.383454372	8.874633523	9.797615054
11-Sep	14.40007809	14.14636777	14.53620081	13.88028742	13.87113404	12.76402434	14.29104231	13.83684008	13.22325681	13.84807303	14.29661386	14.07307023	13.82044633	13.89895719	13.64020364	13.4498643	13.39938317	13.34336267
15-Sep	13.76309981	14.0173142	13.67066832	14.1046077	14.05706223	14.24229452	13.93298993	13.97162472	14.36794578	13.93734147	13.60053271	13.6346577	13.81616417	13.73674051	13.80660745	13.43246217	13.66018725	13.61836027
0610005C13Rik	5.261324907	5.739116451	4.180129171	5.543653315	5.135727474	6.792748105	4.880066492	6.038206382	7.105277421	5.661810494	4.5316322	4.963204018	5.583197958	4.493126742	5.909246347	4.480542967	4.965940355	4.83877932
0610007P14Rik	12.09805854	12.06696786	12.06285167	12.32263921	12.55122885	12.65152358	12.53241227	12.86417512	12.67674107	12.42560555	12.20125964	12.30261028	12.1650909	12.18569976	12.0823105	12.03500229	12.28689402	12.13102226
0610009B22Rik	10.58814914	10.33644045	10.30227348	10.4461315	10.42471777	10.09161306	10.49183493	10.44073789	10.92865496	10.58235215	10.2078982	11.15058054	11.11128963	10.69292509	10.82456533	10.75071613	10.48400403	10.92684226
0610009D07Rik	15.55801624	15.59956115	15.74491722	15.87610106	15.81608926	15.66875733	15.85404078	15.95396368	15.8656993	15.82165842	15.94164457	15.6454837	15.81395714	15.78514697	15.73292121	15.46098206	15.58292839	15.7161823
0610009E02Rik	7.996519016	7.564147291	7.67391908	6.470020584	7.497579037	7.560863215	7.400493064	7.728815709	6.446486104	8.02283965	7.523657875	8.242304352	7.467946939	7.865261809	7.609617386	8.308436575	7.896589473	7.343957103
0610009L18Rik	9.088967898	8.252603058	9.1044725	8.936652418	9.181182818	8.853195099	9.654533979	9.259228219	8.188726387	10.0767467	9.213087953	9.942494057	10.92436408	10.35117652	10.45098358	10.67739278	10.1112494	10.60110452
0610009O20Rik	13.94727055	13.98224382	14.12173609	14.46989177	14.47150854	14.49704143	14.71890284	14.60857766	14.67809746	14.60960129	14.77475556	14.89903606	14.68994873	14.53947314	14.56046795	14.473265	14.51869989	14.54412201
0610010F05Rik	11.01285107	11.40462128	11.14250653	11.96615539	11.40627484	11.47193329	11.77379377	11.90434959	11.86170852	10.71468555	10.35164331	10.07074669	10.39472465	10.69879053	10.7175462	10.15354067	10.50697953	10.59997347
0610010K14Rik	7.458808329	7.507915199	7.911658324	7.914580622	7.860879308	8.026798549	7.701041304	7.720449504	8.242621092	7.760666015	7.824852725	7.633531771	8.093320156	8.012895912	7.780673853	7.591223514	7.554337968	8.290830149
0610011F06Rik	11.39014158	11.44369982	11.14303709	11.44949507	11.57852368	11.71248852	11.22228994	11.37043704	11.61850221	11.72804953	11.58196428	12.02221506	11.78787991	11.51123359	11.56680688	11.62052175	11.46125712	11.65940293
0610012G03Rik	14.91231339	14.95260731	15.00136859	14.79834478	15.05672125	15.18299667	14.43302258	14.6163388	15.2386705	14.78526616	13.86920927	14.24988735	14.66499728	14.82214224	15.3461691	15.28645755	15.14598047	14.90964577
0610030E20Rik	12.75770029	12.73411007	12.93833662	12.30297842	12.19171186	11.51651273	12.54506543	12.09717442	12.0772521	11.88363201	12.26261338	11.90191553	12.62428679	12.53895388	12.71272004	12.77641429	12.74641447	12.70212727
0610031J06Rik	6.304536932	6.423732654	6.279062229	7.147465416	6.533974888	6.877961819	6.04902719	5.197493388	4.276477354	4.994142906	5.020726173	4.21317172	5.419961092	5.401112872	4.57261457	5.000188841	5.631120345	4.617702847
0610037L13Rik	11.5093742	11.85744139	11.4912522	11.9770634	11.60324925	12.03205834	11.53778129	11.66633317	12.28707573	11.17776984	10.93812268	10.57019182	10.71935969	10.62884199	10.7695771	10.45611338	10.71729485	10.57932133
0610039K10Rik	6.793550786	7.314709628	6.706630782	8.457396552	6.848460561	7.161214656	8.636612313	7.759479525	7.534169775	7.163765721	7.913397578	8.20389667	8.697051674	8.417425098	8.223853367	7.903432938	8.419955181	7.798115673
0610040B09Rik	7.704636287	7.928752172	9.007921717	7.38171363	7.153607474	8.411062574	6.11149625	6.499465094	8.457109185	6.343528205	4.778922396	6.481525281	4.411880768	5.698620065	5.935758445	6.059819448	6.929902761	5.729556569
0610040B10Rik	8.65094762	8.843603768	9.059951469	9.530217232	8.623358866	9.035843377	9.36556162	9.93500144	10.01320779	9.753180529	10.23786266	10.30910605	10.82406056	10.67764155	10.98965042	11.27144637	10.16093035	10.75943148
0610040J01Rik	12.51934318	12.30498682	12.60010786	10.99963794	11.4199534	11.36767208	10.36835197	10.44641981	10.6440702	10.88236909	10.58100823	11.41114837	10.55328915	10.20653726	10.52148409	10.23210801	10.48990802	9.627823821
1110001A16Rik	10.53377477	11.21432823	10.787687	11.64925534	11.00274865	11.64391497	10.94380689	11.16651885	11.21570013	10.95375817	10.59545515	8.124172633	11.16164254	10.79592534	10.94482004	10.34377442	10.56903805	11.08789928
1110001J03Rik	13.76297533	13.06660369	13.24413994	13.26532179	14.01233841	14.42019999	13.65071247	14.06741938	14.09610053	13.34617446	13.29668438	13.97373563	12.88510302	12.70456493	12.64716487	12.20398464	12.14894325	11.84879379
1110002L01Rik	11.84741787	11.92204137	11.76975964	11.90080745	11.94130296	11.79033667	11.94408783	11.92421349	11.96379437	11.95020218	11.91067009	12.19622903	11.62806346	11.63324294	11.89098011	11.85559036	11.75627902	12.08559343
1110004E09Rik	11.23684248	11.25770896	11.32321656	11.51144169	11.03360855	11.50137501	10.86691496	11.15794861	11.19455628	10.6581594	10.46916545	10.89332937	10.03101418	10.14137198	10.1492718	9.533968892	9.988787592	9.975413117
1110004F10Rik	13.33866561	13.17627997	13.24098679	13.29442219	13.48976254	14.00107387	13.14139534	13.34938399	13.61477212	13.52096316	13.1818859	13.76588305	13.02926171	12.90390826	13.208348	12.97054596	13.14532294	12.99813003
1110007C09Rik	11.39674971	11.39494797	11.95776717	12.19553871	12.09180098	12.41356258	12.53345401	12.44102407	12.85893813	12.04973515	12.37852055	12.64970944	12.64472753	12.30933612	12.38862515	13.03460059	12.88854894	12.87523396
1110008F13Rik	13.09931623	13.18297733	13.36201236	13.32736686	13.44056011	13.71400396	12.87690565	12.8549117	13.20752302	12.87089755	12.71559434	12.82481007	12.29035994	12.34530835	12.3890627	12.27545706	12.31427982	12.20672883
1110008J03Rik	9.969369344	10.02633687	10.00335685	10.06096818	10.28708252	10.57525738	9.684977158	10.11733171	10.05976758	9.21853185	9.007644781	9.618780728	8.578536106	8.674831064	8.640535261	8.871151519	9.369710435	8.861474252
1110008L16Rik	11.52947157	11.7711432	11.5476158	11.81099518	11.69034627	11.89154106	11.48207325	11.41801621	11.72376706	11.59957325	11.50949049	11.05435727	11.6961027	11.30003834	11.44342897	11.35414841	11.58242852	11.64621131
1110008P14Rik	10.42794928	10.19170436	10.59650957	10.83845398	10.71560581	11.22670282	11.04263913	11.08206114	11.39148763	11.5797494	11.49457583	11.98996844	11.37323096	11.31994735	11.0059004	11.62947667	11.7433039	11.52049156
1110012L19Rik	11.81971394	11.97938693	11.96931173	12.18024615	11.82193876	12.09523912	12.09362652	12.02234241	11.90607535	11.80986018	11.71917303	11.94594492	12.08827589	12.11166228	12.49965643	12.12008599	12.17082416	12.38414217
1110018G07Rik	12.42228857	12.16851611	12.43595184	12.0837731	12.17435167	11.83294352	12.57145394	12.14193507	12.21936502	13.2246751	13.25825126	13.46872546	13.92452231	13.75592876	13.791159	14.36215684	14.05474965	14.18223432
1110032A03Rik	10.6343973	10.73564778	10.55859711	11.07163426	11.09596963	11.71788124	11.04310122	11.32863195	11.18341821	11.58666211	11.74174052	12.09761857	12.0282437	12.12212873	12.40601902	12.47561561	12.68680813	12.49671787
1110034G24Rik	8.76609567	8.533495174	9.186328598	9.309626177	9.836014641	10.69684737	10.02800519	10.04977524	10.64780648	10.5347141	10.35019408	10.79830981	10.63936484	10.63831023	10.3416874	10.98871018	10.92177691	10.88476093
1110035H17Rik	8.279459712	7.716300048	6.798046933	8.293728788	8.012334764	8.643123714	9.022943162	9.324217889	8.126483303	9.615849104	9.906579106	10.66176791	8.372503518	9.269823135	10.16677589	10.09718804	9.601034263	9.684634459
1110035M17Rik	6.615065246	7.242929824	5.882312583	5.490003239	3.99112223	4.930924342	7.605498275	6.87775858	6.125979829	6.800565878	6.991217678	6.564002238	7.71051649	6.801563608	8.490541159	7.574851682	8.860180203	8.47315594
1110037F02Rik	13.31672874	13.23964317	13.20393488	13.34647564	13.38346856	13.71412229	13.43426368	13.40832083	13.52621885	13.53034598	13.18568203	13.45376406	13.47278635	13.32687035	13.49984296	13.55674492	13.74444853	13.60885384
1110038B12Rik	14.02380303	13.89232588	14.09132087	14.37967181	14.35316072	14.88962206	13.84144011	14.38132842	14.1918894	13.99202514	13.97339234	13.77852058	13.51007754	13.73614948	13.42132702	13.73885081	13.5321095	13.83434882
1110038F14Rik	13.66122806	13.81093156	13.94781749	13.61306122	13.50069077	13.31700212	13.65218086	13.51341032	13.5203626	13.78799276	13.45177987	14.12551582	13.77365734	13.7969382	14.07156576	13.90304163	13.70040897	13.88697568
1110051M20Rik	11.60090996	11.61434492	11.38878479	11.94595648	12.06207231	12.4121004	12.08316884	12.04537315	12.09282132	12.13427675	12.30697198	11.80223558	12.15862862	12.02809678	11.83393484	12.21978802	12.35406405	12.21662743
