miRNA	I.0.1	I.0.2	I.0.4	I.2.1	I.2.2	I.2.4	I.6.1	I.6.2	I.6.4	I.12.1	I.12.2	I.12.4	I.18.1	I.18.2	I.18.4	I.24.1	I.24.2	I.24.4
mmu-let-7g-5p	12.8442255	12.8445209	12.84875244	12.94313463	12.97569809	12.5482786	12.6764467	12.71740064	12.71010487	13.01292595	12.82822393	12.58468705	12.84541105	12.73224822	12.64263884	12.61629625	12.58191366	12.80640228
mmu-let-7g-3p	4.518110519	5.100278411	4.721396936	5.093578279	4.431795858	3.84483496	4.206194907	4.476785113	4.138334359	4.07939222	3.538634399	3.275852795	3.95479632	3.734914785	4.475917343	2.852972777	3.902952665	3.734737501
mmu-let-7i-5p	13.74128978	13.78349467	13.8523627	13.85562868	13.85882765	13.4973205	13.55915487	13.6096035	13.76861493	13.9712763	13.54863429	13.44089832	13.77956405	14.05581557	13.79539411	13.83954404	13.82646404	14.06115684
mmu-let-7i-3p	6.058950404	6.310289912	5.914884959	7.064878589	5.822356725	5.225350976	6.182978538	6.539131632	5.990640183	5.744600207	5.861922897	5.634688853	5.670197204	5.385820368	6.553831737	6.058262617	6.141747748	5.895104952
mmu-miR-15b-5p	12.55004451	12.75300155	12.32325546	12.72312897	12.64140309	13.14424443	13.09304054	13.11898419	12.91880683	12.30997961	12.99761695	13.28387557	12.51879583	12.67743837	13.11341313	13.14496284	13.08615488	12.44959635
mmu-miR-15b-3p	9.670935148	10.0313543	9.290044346	10.57004966	9.464984774	7.985660198	9.693713352	10.42259507	9.677239281	9.517309909	10.27282095	9.100736201	9.467177237	10.26081567	10.22281181	10.02147789	9.748897528	9.704799048
mmu-miR-23b-5p	2.322166947	2.202018966	2.160726773	1.713661318	1.892240135	0.985750721	1.349607861	1.964098399	1.468538526	1.588780342	1.086094618	0.087759621	1.181607969	1.345449299	1.379466177	1.681826575	1.039723886	0.48920283
mmu-miR-23b-3p	9.865342342	9.914661453	10.26673064	10.14622995	9.849306833	9.531921493	9.926722783	10.15360697	9.829305408	9.900721639	10.15774526	9.891545178	9.807600401	9.676299544	10.38586179	9.952038578	10.16832442	10.10790742
mmu-miR-27b-5p	7.540690224	7.319633244	7.818630688	8.241817453	7.975135532	7.433801252	7.493851766	8.043694534	7.738984478	8.069459902	7.950756225	7.157034955	7.317512039	7.792898096	7.575038862	6.475895064	6.951364959	7.397243245
mmu-miR-27b-3p	4.246668396	2.992489654	2.676485887	4.447363764	2.72967319	3.305840155	4.033094417	3.220311228	3.594205983	3.919063466	2.59214889	3.16458981	3.769546211	2.926180895	3.740383288	4.092400416	3.292012899	2.945061431
mmu-miR-29b-1-5p	1.338680753	0.957096861	0.962028016	0.96960106	1.46540521	0.909339927	1.56401184	1.57390737	1.499533494	1.150671254	2.515570753	1.197098811	1.060658356	1.462340637	1.056490601	1.183911476	1.326890968	0.944269594
mmu-miR-29b-3p	8.295906473	8.308561958	7.986910381	7.940770266	7.956309394	8.26849047	8.401168886	8.016642759	7.980335447	7.344492159	6.75383296	8.336697276	7.681921315	7.71030026	8.61270261	8.4404551	8.744723202	7.81413234
mmu-miR-30b-5p	11.88270754	11.77277643	12.07979403	11.98279668	11.86352127	11.9433151	12.00655593	12.18863026	11.75703285	11.72284031	11.81180733	12.18298125	11.7964165	11.70257403	12.47814236	11.84869441	12.06443615	11.72384004
mmu-miR-30b-3p	6.534825948	6.78917134	6.369760979	6.355376199	6.529257575	7.068179221	6.551142046	6.533652772	6.74074714	6.751135817	6.70242909	6.402422059	6.471690745	6.353312494	6.679214487	6.534931639	6.319246807	6.144969852
mmu-miR-99b-5p	11.14274251	10.61287262	10.48960495	11.27580555	10.54235111	10.47345313	10.54959915	10.44586798	10.28452676	10.51448979	11.03096661	10.14423048	10.71597407	9.468158258	10.39900846	10.792747	9.66295689	9.941846032
mmu-miR-99b-3p	1.824465072	1.966566623	1.696019039	0.943365396	1.840568399	1.486344841	1.834941005	2.036259322	1.629931066	2.138784147	1.795369508	0.960129021	1.969884648	1.880024717	1.730177023	1.970484518	1.895115397	1.543821506
mmu-miR-101a-5p	4.941377052	5.054380888	5.44453953	4.905360244	4.686820095	4.611409448	4.523462242	4.228076849	4.746078282	4.534610619	4.316090419	4.86424055	4.746132698	4.430776446	4.671608665	4.886951033	4.473697245	4.926582697
mmu-miR-101a-3p	2.967788498	3.978504274	4.101401334	3.584441669	4.158706041	3.591423597	3.070277368	3.72048008	2.554735573	2.867627904	2.927941554	3.607190174	3.006472151	3.429464348	3.738465279	2.249366925	3.265991615	3.542696951
mmu-miR-125a-5p	7.691964968	7.889215683	7.664217508	7.425463243	8.078138919	8.530194148	8.247203748	7.900458565	8.363957995	7.304996251	8.484189113	8.699418638	7.76269648	8.006513642	8.153108786	8.236710175	8.306554619	7.604479657
mmu-miR-125a-3p	1.466740275	1.846928836	1.137380426	0.97614024	1.560552919	1.232889929	0.950741541	1.415745078	1.743526497	2.084083577	2.030735198	1.616879077	1.973980589	1.275009695	1.963636106	1.868277596	1.643532738	1.766457651
mmu-miR-126a-3p	7.553824223	7.565700235	7.545007455	7.218400928	7.624273907	7.277898215	7.043530237	7.478029896	7.273539165	6.933740052	7.163386264	7.028725466	6.900495332	6.801852264	7.108388614	6.129697187	6.817801229	6.834958473
mmu-miR-127-3p	1.561317613	1.532712615	2.356061885	2.268083771	2.457229494	1.233095163	1.774546838	2.289326929	1.453329338	2.425530761	2.484798901	1.225696863	2.533269377	2.651863752	1.922306047	2.103549569	2.54033696	1.828229349
