TF	TG	Input
nhaR	nhaA	1
nhaR	nhaR	1
nhaR	pgaD	1
nhaR	pgaC	1
nhaR	pgaB	1
nhaR	pgaA	1
nhaR	osmC	1
caiF	caiE	1
caiF	caiD	1
caiF	caiC	1
caiF	caiB	1
caiF	caiA	1
caiF	caiT	1
caiF	fixA	1
caiF	fixB	1
caiF	fixC	1
caiF	fixX	1
araC	araD	1
araC	araA	1
araC	araB	1
araC	araC	1
araC	araJ	1
araC	ydeM	1
araC	ydeN	1
araC	araG	1
araC	araF	1
araC	araE	1
araC	ygeA	1
araC	xylB	1
araC	xylA	1
araC	araH	1
sgrR	sroA	1
sgrR	thiQ	1
sgrR	thiP	1
sgrR	tbpA	1
sgrR	sgrR	1
sgrR	setA	1
sgrR	alaC	1
sgrR	sgrS	1
sgrR	sgrT	1
leuO	leuD	1
leuO	leuC	1
leuO	leuB	1
leuO	leuA	1
leuO	leuL	1
leuO	leuO	1
leuO	leuO	1
leuO	dsrA	1
leuO	casA	1
leuO	casB	1
leuO	casC	1
leuO	casD	1
leuO	casE	1
leuO	cas1	1
leuO	cas2	1
leuO	bglG	1
leuO	bglF	1
leuO	bglB	1
leuO	cadC	1
leuO	yjjQ	1
leuO	bglJ	1
cra	setA	1
cra	aroP	1
cra	aroP	1
cra	pdhR	1
cra	aceE	1
cra	aceF	1
cra	lpd	1
cra	pdhR	1
cra	aceE	1
cra	aceF	1
cra	lpd	1
cra	acnB	1
cra	acnB	1
cra	betA	1
cra	betB	1
cra	betI	1
cra	betT	1
cra	pdeL	1
cra	yahA	1
cra	prpB	1
cra	prpC	1
cra	prpD	1
cra	prpE	1
cra	cyoE	1
cra	cyoE	1
cra	cyoD	1
cra	cyoD	1
cra	cyoC	1
cra	cyoC	1
cra	cyoB	1
cra	cyoB	1
cra	cyoA	1
cra	cyoA	1
cra	cydA	1
cra	cydB	1
cra	poxB	1
cra	ssuB	1
cra	ssuC	1
cra	ssuD	1
cra	ssuA	1
cra	ssuE	1
cra	csgG	1
cra	csgF	1
cra	csgE	1
cra	csgD	1
cra	icd	1
cra	adhE	1
cra	adhE	1
cra	ychE	1
cra	acnA	1
cra	marR	1
cra	marA	1
cra	marB	1
cra	ydhZ	1
cra	pykF	1
cra	pykF	1
cra	ppsA	1
cra	ppsA	1
cra	ppsR	1
cra	msrB	1
cra	gapA	1
cra	gapA	1
cra	yeaD	1
cra	manX	1
cra	manX	1
cra	manY	1
cra	manY	1
cra	manZ	1
cra	manZ	1
cra	edd	1
cra	eda	1
cra	zwf	1
cra	yeeX	1
cra	hisG	1
cra	hisG	1
cra	hisD	1
cra	hisD	1
cra	hisC	1
cra	hisC	1
cra	hisB	1
cra	hisB	1
cra	hisH	1
cra	hisH	1
cra	hisA	1
cra	hisA	1
cra	hisF	1
cra	hisF	1
cra	hisI	1
cra	hisI	1
cra	mdtA	1
cra	mdtB	1
cra	mdtC	1
cra	mdtD	1
cra	baeS	1
cra	baeR	1
cra	fbaB	1
cra	fruA	1
cra	fruA	1
cra	fruK	1
cra	fruK	1
cra	fruB	1
cra	fruB	1
cra	mepS	1
cra	nuoN	1
cra	nuoM	1
cra	nuoL	1
cra	nuoK	1
cra	nuoJ	1
cra	nuoI	1
cra	nuoH	1
cra	nuoG	1
cra	nuoF	1
cra	nuoE	1
cra	nuoC	1
cra	nuoB	1
cra	nuoA	1
cra	glk	1
cra	glk	1
cra	glk	1
cra	ptsH	1
cra	ptsI	1
cra	crr	1
cra	ptsH	1
cra	ptsI	1
cra	crr	1
cra	raiA	1
cra	raiA	1
cra	nrdH	1
cra	nrdI	1
cra	nrdE	1
cra	nrdF	1
cra	hypF	1
cra	eno	1
cra	eno	1
cra	epd	1
cra	pgk	1
cra	fbaA	1
cra	epd	1
cra	pgk	1
cra	fbaA	1
cra	glcC	1
cra	crp	1
cra	nirB	1
cra	nirB	1
cra	nirD	1
cra	nirD	1
cra	nirC	1
cra	nirC	1
cra	cysG	1
cra	cysG	1
cra	yhfS	1
cra	yhfT	1
cra	yhfU	1
cra	php	1
cra	yhfW	1
cra	yhfX	1
cra	pck	1
cra	nikA	1
cra	nikB	1
cra	nikC	1
cra	nikD	1
cra	nikE	1
cra	nikR	1
cra	mtlA	1
cra	mtlD	1
cra	mtlR	1
cra	gpmM	1
cra	gpmM	1
cra	envC	1
cra	envC	1
cra	yibQ	1
cra	yibQ	1
cra	metE	1
cra	pfkA	1
cra	pfkA	1
cra	tpiA	1
cra	tpiA	1
cra	ppc	1
cra	aceB	1
cra	aceA	1
cra	aceK	1
cra	aceB	1
cra	aceA	1
cra	aceK	1
cra	fbp	1
cra	mpl	1
cra	treB	1
cra	treC	1
cra	sgrS	1
cra	sgrT	1
mraZ	mraZ	1
mraZ	rsmH	1
mraZ	ftsL	1
mraZ	ftsI	1
mraZ	murE	1
mraZ	murF	1
mraZ	mraY	1
mraZ	murD	1
mraZ	ftsW	1
mraZ	murG	1
mraZ	murC	1
mraZ	ddlB	1
mraZ	ftsQ	1
mraZ	ftsA	1
mraZ	ftsZ	1
mraZ	lpxC	1
mraZ	mioC	1
pdhR	mraZ	1
pdhR	rsmH	1
pdhR	ftsL	1
pdhR	ftsI	1
pdhR	murE	1
pdhR	murF	1
pdhR	mraY	1
pdhR	murD	1
pdhR	ftsW	1
pdhR	murG	1
pdhR	murC	1
pdhR	ddlB	1
pdhR	ftsQ	1
pdhR	ftsA	1
pdhR	ftsZ	1
pdhR	lpxC	1
pdhR	pdhR	1
pdhR	aceE	1
pdhR	aceF	1
pdhR	lpd	1
pdhR	hemL	1
pdhR	cyoE	1
pdhR	cyoD	1
pdhR	cyoC	1
pdhR	cyoB	1
pdhR	cyoA	1
pdhR	hha	1
pdhR	tomB	1
pdhR	ndh	1
pdhR	grcA	1
pdhR	glcD	1
pdhR	glcE	1
pdhR	glcF	1
pdhR	glcG	1
pdhR	glcB	1
pdhR	glcA	1
pdhR	fecA	1
pdhR	fecB	1
pdhR	fecC	1
pdhR	fecD	1
pdhR	fecE	1
cdaR	cdaR	1
cdaR	gudD	1
cdaR	gudX	1
cdaR	gudP	1
cdaR	garP	1
