TF	TG	Input
Aatf	Bak1	1
Aatf	Bax	1
Aatf	Bbc3	1
Aatf	Cdkn1a	1
Aatf	Tpt1	1
Aatf	Trp53	1
Abl1	Trp53	1
Abl1	Trp73	1
Aebp2	Jarid2	1
Aebp2	Snai2	1
Aes	Ihh	1
Ahr	Abcc4	1
Ahr	Apaf1	1
Ahr	Cyp19a1	1
Ahr	Cyp1a1	1
Ahr	Cyp1a1	1
Ahr	Cyp1a2	1
Ahr	Cyp1b1	1
Ahr	E2f2	1
Ahr	Gata4	1
Ahr	Gsta1	1
Ahr	Il17a	1
Ahr	Il17a	1
Ahr	Il6	1
Ahr	Lhb	1
Ahr	Nkx2-5	1
Ahr	Nqo1	1
Ahr	Nqo1	1
Ahr	Pla2g4a	1
Ahr	Ptgs2	1
Ahr	Serpinb2	1
Ahr	Sim1	1
Ahr	Smoc2	1
Ahr	Snai2	1
Ahr	Ugt1a6a	1
Ahr	Vav3	1
Aire	Bmp2	1
Aire	F11	1
Alx4	Fgf10	1
Ankrd1	Myl2	1
Ankrd1	Nppa	1
Apbb1	Lrp1	1
Apbb1	Notch1	1
Apc	Ctnnb1	1
Apc	Myc	1
Apc	Spp1	1
Apc	Tcf4	1
Apc	Trp53	1
Apex1	Apod	1
Apex1	Blk	1
Apex1	Ccl12	1
Apex1	Nfkb1	1
Apex1	Nfkb1	1
Apex1	Pax5	1
Apex1	Ptgs2	1
Apex1	Rela	1
Apex1	Tlr4	1
Ar	Ccr2	1
Ar	Cga	1
Ar	Fkbp5	1
Ar	Foxa1	1
Ar	Klkb1	1
Ar	Nkx3-1	1
Ar	Nkx3-1	1
Ar	Nr0b1	1
Ar	Psat1	1
Ar	Runx2	1
Ar	Scnn1a	1
Ar	Sox2	1
Ar	Tnf	1
Ar	rsl	1
Arid3a	Cr2	1
Arid3a	Igh	1
Arid3b	Igh	1
Arid5b	Sox9	1
Arl6ip5	Parp1	1
Arl6ip5	Xrcc1	1
Arnt	Atxn3	1
Arnt	Cyp1a1	1
Arnt	Cyp1a2	1
Arnt	Cyp1b1	1
Arnt	E2f2	1
Arnt	Sim1	1
Arnt	Th	1
Arntl	Bhlhe40	1
Arntl	Bhlhe40	1
Arntl	Bhlhe41	1
Arntl	Ctnnb1	1
Arntl	Cxcl5	1
Arntl	Dbp	1
Arntl	Maoa	1
Arntl	Nfe2l2	1
Arntl	Per1	1
Arntl	Per1	1
Arntl	Per2	1
