miRNA	Gene	Input
mmu-miR-7003-5p	Hcfc1r1	-1
mmu-miR-7003-5p	Ttyh3	-1
mmu-miR-7003-5p	Syndig1l	-1
mmu-miR-7003-5p	Sorcs2	-1
mmu-miR-7003-5p	Pecam1	-1
mmu-miR-7003-5p	Bbx	-1
mmu-miR-7003-5p	Nos1	-1
mmu-miR-7003-5p	Msn	-1
mmu-miR-6950-5p	Cnot8	-1
mmu-miR-6950-5p	Tmem141	-1
mmu-miR-6950-5p	Dhrs3	-1
mmu-miR-6950-5p	Astl	-1
mmu-miR-6950-5p	Spout1	-1
mmu-miR-6950-5p	Dnajc25	-1
mmu-miR-6950-5p	Syn3	-1
mmu-miR-6950-5p	Hhat	-1
mmu-miR-12191-3p	Rarb	-1
mmu-miR-12191-3p	Slc39a9	-1
mmu-miR-12191-3p	Ireb2	-1
mmu-miR-12191-3p	Zfp354a	-1
mmu-miR-12191-3p	Ccr3	-1
mmu-miR-12191-3p	Zc2hc1a	-1
mmu-miR-5624-5p	Kcnk5	-1
mmu-miR-5624-5p	Ptbp3	-1
mmu-miR-5624-5p	Pfkl	-1
mmu-miR-5624-5p	Vwa5a	-1
mmu-miR-5624-5p	Cd40	-1
mmu-miR-5624-5p	Brinp3	-1
mmu-miR-5624-5p	Cyth3	-1
mmu-miR-5624-5p	Wdr44	-1
mmu-miR-5624-5p	Rapgef2	-1
mmu-miR-5624-5p	Galnt7	-1
mmu-miR-5624-5p	Id1	-1
mmu-miR-5624-5p	Klf10	-1
mmu-miR-5624-5p	Cnr1	-1
mmu-miR-5624-5p	Nbr1	-1
mmu-miR-5624-5p	Exo5	-1
mmu-miR-5624-5p	Zfp608	-1
mmu-miR-5624-5p	Cat	-1
mmu-miR-5624-5p	Atp5c1	-1
mmu-miR-5624-5p	Snai2	-1
mmu-miR-5624-5p	Trp53	-1
mmu-miR-5624-5p	Clpx	-1
mmu-miR-5624-5p	Jakmip2	-1
mmu-miR-5624-5p	Erg	-1
mmu-miR-5624-5p	Eya4	-1
mmu-miR-5624-5p	Syngr3	-1
mmu-miR-92a-3p	Cep41	-1
mmu-miR-92a-3p	Slc17a6	-1
mmu-miR-92a-3p	Grhl1	-1
mmu-miR-92a-3p	Cpeb3	-1
mmu-miR-92a-3p	Isca1	-1
mmu-miR-92a-3p	Zfp521	-1
mmu-miR-92a-3p	Fnip1	-1
mmu-miR-92a-3p	Dpp10	-1
mmu-miR-92a-3p	Rnf38	-1
mmu-miR-92a-3p	Atxn3	-1
mmu-miR-92a-3p	Gramd3	-1
mmu-miR-92a-3p	Dcaf6	-1
mmu-miR-92a-3p	Hand2	-1
mmu-miR-92a-3p	Syn2	-1
